pop_size,elite_ratio,selection,crossover,crossover_rate,mutation_rate,mean_final,std_final,success_rate,auc
100,0.2,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9425
100,0.1,rank,one_point,1.0,0.01,100.0,0.0,30/30,0.942
50,0.2,roulette,two_point,0.8,0.01,100.0,0.0,30/30,0.9419
50,0.2,roulette,two_point,0.8,0.005,100.0,0.0,30/30,0.94
100,0.2,roulette,uniform,1.0,0.01,100.0,0.0,30/30,0.94
100,0.2,roulette,uniform,0.8,0.005,100.0,0.0,30/30,0.9398
100,0.1,rank,one_point,1.0,0.005,100.0,0.0,30/30,0.9388
100,0.2,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9386
100,0.2,roulette,uniform,0.8,0.01,100.0,0.0,30/30,0.9368
100,0.1,rank,one_point,0.8,0.005,100.0,0.0,30/30,0.9366
100,0.1,rank,one_point,0.8,0.01,100.0,0.0,30/30,0.9366
50,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9363
50,0.2,roulette,one_point,0.8,0.005,100.0,0.0,30/30,0.934
100,0.2,roulette,two_point,1.0,0.005,100.0,0.0,30/30,0.9246
100,0.1,roulette,uniform,1.0,0.005,100.0,0.0,30/30,0.9239
100,0.2,roulette,two_point,1.0,0.01,100.0,0.0,30/30,0.9206
100,0.2,roulette,two_point,0.8,0.01,100.0,0.0,30/30,0.9134
100,0.2,roulette,one_point,1.0,0.005,100.0,0.0,30/30,0.9117
100,0.2,roulette,one_point,0.8,0.01,100.0,0.0,30/30,0.9054
5,0.1,roulette,two_point,0.8,0.01,99.96666666666667,0.18257418583505536,29/30,0.9711
5,0.1,roulette,uniform,0.8,0.01,99.96666666666667,0.18257418583505536,29/30,0.9703
10,0.2,roulette,uniform,0.8,0.01,99.96666666666667,0.18257418583505536,29/30,0.9692
20,0.2,roulette,uniform,0.8,0.01,99.96666666666667,0.18257418583505536,29/30,0.9692
10,0.2,roulette,one_point,1.0,0.01,99.96666666666667,0.18257418583505536,29/30,0.9673
10,0.1,roulette,uniform,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9511
50,0.1,roulette,uniform,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9477
10,0.1,roulette,one_point,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9477
10,0.1,roulette,one_point,0.8,0.005,99.96666666666667,0.18257418583505536,29/30,0.9458
50,0.2,roulette,one_point,1.0,0.005,99.96666666666667,0.18257418583505536,29/30,0.9395
100,0.2,roulette,two_point,0.8,0.005,99.96666666666667,0.18257418583505536,29/30,0.9154
100,0.2,roulette,one_point,0.8,0.005,99.96666666666667,0.18257418583505536,29/30,0.9054
10,0.1,roulette,uniform,0.8,0.005,99.93333333333334,0.2537081317024625,28/30,0.9504
10,0.1,roulette,two_point,0.8,0.005,99.93333333333334,0.2537081317024625,28/30,0.9496
20,0.1,roulette,uniform,1.0,0.005,99.93333333333334,0.2537081317024624,28/30,0.9496
10,0.1,roulette,two_point,1.0,0.005,99.93333333333334,0.2537081317024625,28/30,0.9474
50,0.2,roulette,one_point,1.0,0.01,99.93333333333334,0.2537081317024624,28/30,0.9389
50,0.1,roulette,two_point,0.8,0.005,99.93333333333334,0.2537081317024624,28/30,0.9208
100,0.1,roulette,uniform,0.8,0.005,99.93333333333334,0.2537081317024625,28/30,0.9204
50,0.1,roulette,one_point,0.8,0.005,99.93333333333334,0.2537081317024625,28/30,0.9164
100,0.2,roulette,one_point,1.0,0.01,99.93333333333334,0.2537081317024625,28/30,0.9097
20,0.1,roulette,two_point,0.8,0.005,99.9,0.30512857662936466,27/30,0.9415
50,0.1,roulette,two_point,1.0,0.005,99.9,0.3051285766293647,27/30,0.9235
100,0.1,roulette,two_point,1.0,0.005,99.9,0.30512857662936466,27/30,0.8986
20,0.1,roulette,two_point,1.0,0.005,99.86666666666666,0.43417248545530474,27/30,0.9429
20,0.1,roulette,one_point,1.0,0.005,99.86666666666666,0.34574590364176044,26/30,0.9391
50,0.1,roulette,one_point,1.0,0.005,99.86666666666666,0.34574590364176044,26/30,0.9159
100,0.1,roulette,uniform,1.0,0.01,99.86666666666666,0.3457459036417604,26/30,0.9129
20,0.1,roulette,one_point,0.8,0.005,99.83333333333333,0.3790490217894517,25/30,0.9389
10,0.1,roulette,two_point,0.8,0.01,99.76666666666667,0.5040069329937309,24/30,0.948
100,0.1,roulette,uniform,0.8,0.01,99.73333333333333,0.5832922809856745,24/30,0.9094
10,0.1,roulette,two_point,1.0,0.01,99.7,0.7022132498578063,24/30,0.947
10,0.1,roulette,one_point,0.8,0.01,99.7,0.5959634332684375,23/30,0.9423
20,0.1,roulette,one_point,0.8,0.01,99.7,0.534983080621924,22/30,0.9379
20,0.1,roulette,one_point,1.0,0.01,99.7,0.5959634332684375,23/30,0.9373
20,0.1,roulette,two_point,0.8,0.01,99.66666666666667,0.5466722735905339,21/30,0.9359
20,0.1,roulette,two_point,1.0,0.01,99.63333333333334,0.5560534167675355,20/30,0.9409
10,0.1,roulette,one_point,1.0,0.01,99.6,0.5632418479750458,19/30,0.9407
50,0.1,roulette,two_point,1.0,0.01,99.56666666666666,0.5683207771559353,18/30,0.9221
50,0.1,roulette,one_point,0.8,0.01,99.56666666666666,0.5683207771559353,18/30,0.9127
50,0.1,roulette,uniform,1.0,0.01,99.53333333333333,0.571346463723366,17/30,0.9396
100,0.1,roulette,two_point,0.8,0.005,99.53333333333333,0.7302967433402215,19/30,0.8895
50,0.1,roulette,uniform,0.8,0.01,99.46666666666667,0.6288102248298566,16/30,0.9315
50,0.1,roulette,two_point,0.8,0.01,99.46666666666667,0.7760791522613609,19/30,0.9167
50,0.1,roulette,one_point,1.0,0.01,99.46666666666667,0.6288102248298566,16/30,0.9123
20,0.1,roulette,uniform,1.0,0.01,99.3,0.5959634332684376,11/30,0.9427
20,0.1,roulette,uniform,0.8,0.01,99.26666666666667,0.8276819867946675,14/30,0.9375
100,0.1,roulette,one_point,0.8,0.005,99.26666666666667,0.7396799556440671,13/30,0.8832
100,0.1,roulette,one_point,1.0,0.005,99.23333333333333,0.6789105539243627,11/30,0.8846
10,0.1,roulette,uniform,0.8,0.01,99.13333333333334,0.8995528902176074,11/30,0.9365
100,0.1,roulette,two_point,1.0,0.01,99.03333333333333,1.0333518722845685,12/30,0.8924
10,0.1,roulette,uniform,1.0,0.01,98.9,1.0618786215460558,10/30,0.935
100,0.1,roulette,two_point,0.8,0.01,98.6,1.0372377109252813,6/30,0.8831
100,0.1,roulette,one_point,1.0,0.01,98.56666666666666,1.0400044208570938,5/30,0.8834
100,0.1,roulette,one_point,0.8,0.01,98.06666666666666,0.9802650357071221,2/30,0.8759
